Country,State,City,Station,Last Update,Latitude,Longitude,Pollutant Id,Pollutant Min,Pollutant Max,Pollutant Avg
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",27-11-2025 18:00,26.0881305,87.93840336,CO,17,24,19
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",27-11-2025 18:00,27.308328,84.531742,SO2,16,17,16
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",27-11-2025 18:00,26.63086,84.90051,PM10,21,161,93
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",27-11-2025 18:00,26.63086,84.90051,NH3,3,3,3
India,Bihar,Munger,"Town Hall, Munger - BSPCB",27-11-2025 18:00,25.376776,86.471523,NH3,5,7,6
India,Bihar,Munger,"Town Hall, Munger - BSPCB",27-11-2025 18:00,25.376776,86.471523,CO,18,51,34
India,Bihar,Munger,"Town Hall, Munger - BSPCB",27-11-2025 18:00,25.376776,86.471523,OZONE,11,25,19
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",27-11-2025 18:00,26.11442,85.39813,NO2,28,91,47
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",27-11-2025 18:00,26.987634,94.636574,PM2.5,24,63,46
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",27-11-2025 18:00,26.987634,94.636574,NH3,4,15,8
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",27-11-2025 18:00,26.987634,94.636574,CO,14,78,22
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",27-11-2025 18:00,26.146529,87.454184,SO2,16,22,21
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",27-11-2025 18:00,25.5626095,84.663264,CO,43,63,55
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",27-11-2025 18:00,24.75746,84.366208,PM10,64,170,99
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",27-11-2025 18:00,24.75746,84.366208,NO2,7,8,8
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",27-11-2025 18:00,27.103358,93.679645,PM2.5,36,343,124
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",27-11-2025 18:00,26.071318,91.87488,PM10,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA",27-11-2025 18:00,26.2028636,91.70046436,NO2,1,8,4
India,Assam,Guwahati,"IITG, Guwahati - PCBA",27-11-2025 18:00,26.2028636,91.70046436,SO2,22,27,24
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",27-11-2025 18:00,26.10887,91.589544,NO2,11,41,15
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",27-11-2025 18:00,26.10887,91.589544,OZONE,9,14,11
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27-11-2025 18:00,16.9872867,81.7363176,PM2.5,183,291,233
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27-11-2025 18:00,16.9872867,81.7363176,NH3,3,5,4
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27-11-2025 18:00,16.9872867,81.7363176,SO2,9,50,24
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",27-11-2025 18:00,16.9872867,81.7363176,OZONE,13,41,32
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",27-11-2025 18:00,13.67,79.35,PM2.5,167,237,203
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",27-11-2025 18:00,13.67,79.35,PM10,89,112,100
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB",27-11-2025 18:00,13.67,79.35,CO,26,54,35
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",27-11-2025 18:00,26.80365,84.51954,PM10,34,159,89
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",27-11-2025 18:00,26.80365,84.51954,NH3,1,1,1
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",27-11-2025 18:00,25.251013,86.989001,CO,12,16,14
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",27-11-2025 18:00,25.265194,87.012947,PM2.5,40,113,78
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",27-11-2025 18:00,25.265194,87.012947,CO,4,107,48
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",27-11-2025 18:00,25.265194,87.012947,OZONE,15,90,70
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",27-11-2025 18:00,13.615387,79.40923,PM10,47,74,54
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",27-11-2025 18:00,13.615387,79.40923,NO2,14,18,15
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",27-11-2025 18:00,16.536107,80.594233,SO2,11,26,13
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",27-11-2025 18:00,16.509717,80.612222,PM2.5,35,109,66
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",27-11-2025 18:00,16.509717,80.612222,NO2,44,90,60
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",27-11-2025 18:00,16.554731,80.64911,SO2,11,23,15
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",27-11-2025 18:00,11.654054,92.734055,OZONE,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",27-11-2025 18:00,14.675886,77.593027,PM2.5,52,138,84
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",27-11-2025 18:00,14.675886,77.593027,SO2,12,18,16
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",27-11-2025 18:00,13.20488,79.097889,PM2.5,25,305,171
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",27-11-2025 18:00,13.20488,79.097889,PM10,25,174,111
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",27-11-2025 18:00,24.762518,84.982348,NH3,3,3,3
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",27-11-2025 18:00,24.762518,84.982348,CO,28,46,34
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",27-11-2025 18:00,25.697189,85.2459,PM10,48,164,92
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",27-11-2025 18:00,25.697189,85.2459,NH3,6,11,8
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",27-11-2025 18:00,25.560083,87.553265,OZONE,4,10,7
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",27-11-2025 18:00,25.7808257,84.7446768,PM2.5,22,87,57
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",27-11-2025 18:00,24.7955,84.9994,PM2.5,75,288,137
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",27-11-2025 18:00,24.792403,84.992416,PM10,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",27-11-2025 18:00,26.446912,91.439057,PM10,16,104,54
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",27-11-2025 18:00,26.11442,85.39813,CO,25,148,43
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",27-11-2025 18:00,26.1403345,85.3650192,PM10,61,81,73
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",27-11-2025 18:00,26.1209,85.3647,NO2,9,21,12
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",27-11-2025 18:00,25.586562,85.043586,OZONE,7,50,35
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",27-11-2025 18:00,25.592539,85.227158,PM10,71,102,86
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",27-11-2025 18:00,25.592539,85.227158,CO,30,165,57
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",27-11-2025 18:00,21.194815,81.31477,PM2.5,32,65,46
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",27-11-2025 18:00,21.194815,81.31477,NO2,19,113,56
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",27-11-2025 18:00,21.194815,81.31477,CO,20,92,25
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",27-11-2025 18:00,21.185571,81.343175,NO2,19,21,20
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",27-11-2025 18:00,21.185571,81.343175,CO,21,22,22
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",27-11-2025 18:00,22.08815,82.13737,PM2.5,52,144,80
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",27-11-2025 18:00,22.08815,82.13737,NO2,22,66,27
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",27-11-2025 18:00,22.08815,82.13737,CO,4,101,27
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",27-11-2025 18:00,25.366336,87.117468,SO2,10,21,17
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",27-11-2025 18:00,25.0328,85.41948,CO,62,101,83
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",27-11-2025 18:00,25.892357,86.590325,CO,33,39,37
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",27-11-2025 18:00,25.892357,86.590325,OZONE,1,31,6
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",27-11-2025 18:00,25.859655,85.77944,PM2.5,23,160,59
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",27-11-2025 18:00,26.2271665,84.3570427,NO2,1,5,2
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",27-11-2025 18:00,26.2271665,84.3570427,SO2,4,5,4
